
30 04 2024 16 03 08
,First Failure Found,Amount of Failures Found,
Random Test Results,4,1,
Search Based Results,6,1,
STFCS Results,null,0,
Runtime: 2297
30 04 2024 16 03 13
,First Failure Found,Amount of Failures Found,
Random Test Results,9,1,
Search Based Results,4,1,
STFCS Results,null,0,
Runtime: 2245
30 04 2024 16 03 16
,First Failure Found,Amount of Failures Found,
Random Test Results,9,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2170
30 04 2024 16 03 19
,First Failure Found,Amount of Failures Found,
Random Test Results,7,1,
Search Based Results,null,0,
STFCS Results,9,1,
Runtime: 2245
30 04 2024 16 03 22
,First Failure Found,Amount of Failures Found,
Random Test Results,6,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2204
30 04 2024 16 03 25
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,4,1,
Runtime: 2174
30 04 2024 16 03 28
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2340
30 04 2024 16 03 31
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,3,1,
STFCS Results,2,1,
Runtime: 2281
30 04 2024 16 03 34
,First Failure Found,Amount of Failures Found,
Random Test Results,4,1,
Search Based Results,null,0,
STFCS Results,2,1,
Runtime: 2298
30 04 2024 16 03 37
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,7,1,
Runtime: 2411
30 04 2024 16 03 40
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2555
30 04 2024 16 03 43
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,2,1,
Runtime: 2395
30 04 2024 16 03 46
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,6,1,
Runtime: 2241
30 04 2024 16 03 50
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2329
30 04 2024 16 03 53
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,2,2,
STFCS Results,null,0,
Runtime: 2403
30 04 2024 16 03 56
,First Failure Found,Amount of Failures Found,
Random Test Results,8,1,
Search Based Results,null,0,
STFCS Results,6,1,
Runtime: 2213
30 04 2024 16 03 59
,First Failure Found,Amount of Failures Found,
Random Test Results,4,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2355
30 04 2024 16 04 02
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,9,1,
STFCS Results,null,0,
Runtime: 2348
30 04 2024 16 04 05
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,7,1,
STFCS Results,null,0,
Runtime: 2352
30 04 2024 16 04 09
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,1,1,
Runtime: 2381
30 04 2024 16 04 12
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2301
30 04 2024 16 04 15
,First Failure Found,Amount of Failures Found,
Random Test Results,9,1,
Search Based Results,null,0,
STFCS Results,3,1,
Runtime: 2283
30 04 2024 16 04 18
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,10,1,
STFCS Results,null,0,
Runtime: 2322
30 04 2024 16 04 21
,First Failure Found,Amount of Failures Found,
Random Test Results,4,1,
Search Based Results,6,1,
STFCS Results,4,1,
Runtime: 2339
30 04 2024 16 04 24
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,8,1,
STFCS Results,null,0,
Runtime: 2257
30 04 2024 16 04 27
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,5,2,
STFCS Results,null,0,
Runtime: 2306
30 04 2024 16 04 30
,First Failure Found,Amount of Failures Found,
Random Test Results,2,1,
Search Based Results,null,0,
STFCS Results,1,1,
Runtime: 2140
30 04 2024 16 04 33
,First Failure Found,Amount of Failures Found,
Random Test Results,7,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2272
30 04 2024 16 04 36
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,9,1,
STFCS Results,null,0,
Runtime: 2232
30 04 2024 16 04 39
,First Failure Found,Amount of Failures Found,
Random Test Results,9,1,
Search Based Results,8,1,
STFCS Results,8,2,
Runtime: 2528
01 05 2024 14 43 14
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2096
