30 04 2024 19 28 31,,
,First Failure Found,Amount of Failures Found
Random Test Results,6,1
Search Based Results,null,0
STFCS Results,null,0
Runtime: 3037,,
30 04 2024 19 28 36,,
,First Failure Found,Amount of Failures Found
Random Test Results,7,1
Search Based Results,10,1
STFCS Results,5,2
Runtime: 3403,,
30 04 2024 19 28 40,,
,First Failure Found,Amount of Failures Found
Random Test Results,6,2
Search Based Results,6,1
STFCS Results,null,0
Runtime: 3059,,
30 04 2024 19 28 43,,
,First Failure Found,Amount of Failures Found
Random Test Results,null,0
Search Based Results,3,1
STFCS Results,6,2
Runtime: 3126,,
30 04 2024 19 28 47,,
,First Failure Found,Amount of Failures Found
Random Test Results,5,3
Search Based Results,3,2
STFCS Results,4,1
Runtime: 3171,,
30 04 2024 19 28 51,,
,First Failure Found,Amount of Failures Found
Random Test Results,1,1
Search Based Results,7,1
STFCS Results,8,1
Runtime: 3117,,
30 04 2024 19 28 55,,
,First Failure Found,Amount of Failures Found
Random Test Results,null,0
Search Based Results,2,2
STFCS Results,10,1
Runtime: 3396,,
30 04 2024 19 28 59,,
,First Failure Found,Amount of Failures Found
Random Test Results,3,2
Search Based Results,7,1
STFCS Results,4,1
Runtime: 3202,,
30 04 2024 19 29 04,,
,First Failure Found,Amount of Failures Found
Random Test Results,null,0
Search Based Results,null,0
STFCS Results,1,1
Runtime: 3526,,
30 04 2024 19 29 08,,
,First Failure Found,Amount of Failures Found
Random Test Results,10,1
Search Based Results,null,0
STFCS Results,null,0
Runtime: 3324,,
30 04 2024 19 29 12,,
,First Failure Found,Amount of Failures Found
Random Test Results,9,1
Search Based Results,8,1
STFCS Results,2,3
Runtime: 3200,,
30 04 2024 19 29 16,,
,First Failure Found,Amount of Failures Found
Random Test Results,null,0
Search Based Results,7,1
STFCS Results,2,2
Runtime: 3117,,
30 04 2024 19 29 20,,
,First Failure Found,Amount of Failures Found
Random Test Results,null,0
Search Based Results,2,1
STFCS Results,8,1
Runtime: 3239,,
30 04 2024 19 29 24,,
,First Failure Found,Amount of Failures Found
Random Test Results,8,1
Search Based Results,null,0
STFCS Results,1,2
Runtime: 3238,,
30 04 2024 19 29 28,,
,First Failure Found,Amount of Failures Found
Random Test Results,5,1
Search Based Results,null,0
STFCS Results,null,0
Runtime: 3232,,
30 04 2024 19 29 32,,
,First Failure Found,Amount of Failures Found
Random Test Results,6,1
Search Based Results,1,1
STFCS Results,2,2
Runtime: 3022,,
30 04 2024 19 29 36,,
,First Failure Found,Amount of Failures Found
Random Test Results,null,0
Search Based Results,null,0
STFCS Results,5,1
Runtime: 3077,,
30 04 2024 19 29 40,,
,First Failure Found,Amount of Failures Found
Random Test Results,9,1
Search Based Results,1,1
STFCS Results,3,2
Runtime: 3145,,
30 04 2024 19 29 43,,
,First Failure Found,Amount of Failures Found
Random Test Results,2,1
Search Based Results,null,0
STFCS Results,9,2
Runtime: 3143,,
30 04 2024 19 29 48,,
,First Failure Found,Amount of Failures Found
Random Test Results,null,0
Search Based Results,null,0
STFCS Results,2,2
Runtime: 3286,,
30 04 2024 19 29 52,,
,First Failure Found,Amount of Failures Found
Random Test Results,9,1
Search Based Results,null,0
STFCS Results,3,1
Runtime: 3042,,
30 04 2024 19 29 56,,
,First Failure Found,Amount of Failures Found
Random Test Results,10,1
Search Based Results,3,3
STFCS Results,7,1
Runtime: 3192,,
30 04 2024 19 30 00,,
,First Failure Found,Amount of Failures Found
Random Test Results,8,2
Search Based Results,null,0
STFCS Results,3,3
Runtime: 3035,,
30 04 2024 19 30 04,,
,First Failure Found,Amount of Failures Found
Random Test Results,null,0
Search Based Results,4,2
STFCS Results,5,1
Runtime: 3057,,
30 04 2024 19 30 08,,
,First Failure Found,Amount of Failures Found
Random Test Results,null,0
Search Based Results,6,1
STFCS Results,10,1
Runtime: 3352,,
30 04 2024 19 30 12,,
,First Failure Found,Amount of Failures Found
Random Test Results,null,0
Search Based Results,null,0
STFCS Results,10,1
Runtime: 3036,,
30 04 2024 19 30 16,,
,First Failure Found,Amount of Failures Found
Random Test Results,9,1
Search Based Results,5,1
STFCS Results,10,1
Runtime: 3372,,
30 04 2024 19 30 20,,
,First Failure Found,Amount of Failures Found
Random Test Results,5,1
Search Based Results,10,1
STFCS Results,null,0
Runtime: 3182,,
30 04 2024 19 30 24,,
,First Failure Found,Amount of Failures Found
Random Test Results,null,0
Search Based Results,null,0
STFCS Results,1,2
Runtime: 3028,,
30 04 2024 19 30 28,,
,First Failure Found,Amount of Failures Found
Random Test Results,null,0
Search Based Results,7,1
STFCS Results,null,0
Runtime: 3299,,
