1,72
3,21
3,54
3,58
4,32
4,50
4,54
5,11
5,47
5,63
5,80
6,34
6,73
8,17
8,29
8,92
9,49
10,64
10,69
11,33
11,56
11,69
12,49
14,38
14,40
16,41
17,46
17,84
18,94
19,22
19,58
19,67
20,89
22,24
22,38
23,45
24,62
24,90
25,47
25,55
26,29
26,79
27,39
27,49
30,54
30,71
31,40
31,43
31,49
31,56
31,67
31,69
31,73
34,61
37,43
37,56
38,39
39,77
39,88
39,100
40,58
41,66
41,75
41,99
44,86
46,54
46,71
47,54
47,66
48,58
48,79
49,64
49,81
51,61
52,93
53,74
53,89
54,82
57,77
57,82
59,100
60,81
61,82
61,87
61,99
62,75
66,86
67,100
68,86
69,76
69,100
77,82
77,96
81,98
82,95
85,89
87,98
89,95
92,97
98,99
