1,616
2,150
2,337
2,656
3,61
3,974
4,155
4,650
4,939
4,940
5,219
6,59
6,338
7,74
7,935
8,137
9,128
9,886
10,996
11,120
14,529
14,533
14,662
15,422
15,643
15,807
16,114
16,764
16,803
16,977
17,498
17,562
17,692
17,899
18,503
18,643
18,926
18,927
19,783
19,849
20,280
20,768
20,771
21,170
21,188
21,342
21,774
21,838
22,107
23,181
24,376
25,401
25,408
25,546
26,528
26,879
27,50
27,557
28,205
28,342
28,379
28,550
29,518
30,265
30,414
30,539
30,901
31,841
31,906
32,627
33,547
33,733
34,133
35,326
38,385
38,798
38,804
39,118
39,503
39,525
39,888
40,383
41,640
41,743
44,312
45,46
45,57
45,183
45,855
45,910
46,713
47,452
48,236
48,539
48,899
49,994
52,538
54,251
55,366
55,852
56,376
56,746
56,774
56,851
57,162
57,769
59,634
59,790
59,986
60,110
60,127
60,199
60,476
61,80
61,172
62,223
63,498
64,246
64,979
65,89
65,678
66,555
66,566
66,784
67,584
68,330
68,570
69,220
69,249
69,340
70,623
70,757
73,117
73,188
73,567
73,627
73,815
75,101
75,479
76,294
76,614
76,673
77,704
79,553
79,819
80,692
83,200
84,252
84,443
85,843
86,167
86,778
87,209
87,516
88,104
88,519
89,659
90,99
90,849
91,527
91,582
91,625
92,271
93,329
95,255
95,435
95,512
95,679
96,341
96,361
96,829
96,992
97,270
97,320
97,690
98,336
98,586
98,732
98,762
98,928
99,149
100,292
100,947
101,219
101,949
102,973
103,209
103,655
104,115
104,397
104,470
104,597
105,957
105,996
106,838
107,701
107,961
108,492
109,295
109,319
109,719
109,783
109,920
109,967
110,730
111,418
111,496
111,714
112,803
112,813
113,565
114,728
114,737
116,149
116,536
116,584
117,674
117,805
117,993
119,670
120,121
120,353
120,547
121,173
121,461
121,578
123,571
125,415
125,771
125,973
126,368
126,621
127,360
128,412
128,724
128,863
128,933
129,719
130,564
130,579
130,678
131,909
133,191
133,194
133,291
134,466
134,575
135,399
136,319
137,922
138,247
138,367
140,182
140,512
140,801
140,908
141,938
142,282
142,941
143,200
143,623
143,916
144,168
144,505
144,513
145,526
145,586
145,640
146,854
147,322
147,605
147,651
147,729
148,912
150,860
151,165
151,569
151,767
151,820
151,906
152,316
152,447
153,326
153,904
154,611
154,732
155,457
155,956
156,740
156,991
157,164
159,537
162,333
162,940
163,222
164,496
165,412
165,713
166,498
167,355
167,447
167,483
167,792
169,744
170,223
170,385
170,484
170,896
171,800
172,875
173,257
173,605
175,400
176,290
177,216
179,788
180,292
181,315
182,363
182,499
182,749
183,878
185,683
185,998
186,562
186,921
186,956
187,477
187,821
188,967
190,687
190,870
191,443
191,604
193,277
193,414
193,506
193,880
194,431
194,919
195,584
195,607
195,968
198,564
198,981
200,855
200,868
201,879
202,322
202,663
203,233
205,654
206,783
206,924
207,588
207,723
207,874
208,521
209,224
209,293
209,633
209,801
210,257
210,529
210,688
211,495
211,809
211,887
211,942
212,235
212,972
213,817
213,987
216,708
217,975
218,235
218,279
218,933
219,457
219,798
219,913
220,770
222,445
222,692
222,844
224,493
225,884
226,449
226,652
226,808
227,766
229,409
230,823
231,761
231,853
231,974
233,602
234,378
234,483
236,589
236,688
236,783
236,997
237,331
238,811
238,940
239,717
239,743
240,326
241,314
241,463
241,496
241,798
243,570
243,801
245,487
246,267
246,628
247,878
248,537
249,406
250,551
251,618
253,473
253,544
253,789
253,888
254,719
254,818
254,968
256,329
257,352
258,433
258,879
259,761
260,712
261,504
261,952
262,614
263,352
263,402
263,438
263,451
263,504
263,514
263,812
264,476
264,531
265,309
265,456
265,789
265,909
266,544
266,913
266,970
268,974
269,405
269,734
270,729
271,781
272,467
272,921
274,748
274,910
274,996
275,588
275,621
276,426
276,437
278,300
279,584
279,822
281,331
281,381
281,446
281,918
282,345
282,683
282,839
283,933
284,562
286,524
289,703
290,584
290,957
290,973
291,390
292,551
292,978
294,468
294,491
295,527
296,868
297,485
297,546
297,756
298,901
299,466
300,530
301,530
301,758
301,856
304,490
305,946
306,373
306,406
307,314
307,606
307,620
307,638
311,377
311,622
311,920
313,782
314,795
314,932
314,953
317,659
317,700
318,441
318,839
320,338
320,420
320,892
321,695
322,521
324,785
324,966
325,884
326,431
327,454
327,966
